Campaign,Asset Group,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Description 1,Description 2,Description 3,Description 4,Description 5,Call to action,Business name,Video ID 1,Video ID 2,Video ID 3,Video ID 4,Video ID 5,Path 1,Path 2,Final URL,Final mobile URL,Audience signal,Age demographic,Gender demographic,Income demographic,Parental status demographic,Remarketing audience segments,Interest categories,Life events,Custom audience segments,Detailed demographics,Ad Group,Product Group,Max CPC,Product Group Type
SMY | US | P Max | Diaries,Diaries AW25,Smythson of Bond Street™,Luxury Leather Journals,Over 135 Years Of Expertise,Luxury Leather Craftsmanship,Free Delivery On Orders $500+,Luxury Leather Journal Gifts,Gift a Smythson Journal,Personalization Available,Personalize Your Order Today,Discover Gifts For Him & Her,Smythson Leather Journals,Exclusive Luxury Gift Wrapping,Shop The 2026 Collection,Crafted to Be Cherished,Elevate Their Year Ahead,Discover Smythson leather journals - thoughtful gifts crafted to inspire the year ahead.,"Smythson journal gifts, beautifully crafted with over 135 years of expertise.","Mark the moment with a Smythson journal - refined, timeless and made to be cherished.",Start your year with a Smythson journal - where heritage meets everyday elegance.,Capture all of life’s moments with Smythson's full-year journal.,Start Planning Next Year’s Adventures With Our 2026 Journals.,Give a thoughtful start to their year with a handcrafted Smythson journal gift.,Mark the moment with a Smythson diary - beautifully designed to inspire the year ahead.,Explore Gold-Stamped Initials Motifs & More To Make Your Journal Uniquely Yours.,"Your Year, Thoughtfully Organised In Signature Smythson Style.",Shop now,,HckdlWEj2sw,kQCkDDCrPjY,,,,,,https://www.smythson.com/us/journals-and-books/journals/all-journals,,Generic US
SMY | US | P Max | H&S,Stationery,Elevate Every Written Word,Timeless Luxury Stationery,Free Delivery On Orders $500+,Smythson Luxury Stationery,Smythson Writing Excellence,Smythson Bespoke Stationery,Luxury Gifts They’ll Treasure,Shop Luxury Stationery,Distinctive Touch of Elegance,Luxury Writing Paper & Pens,Luxury Paper & Leather Goods,Paper & Envelope Sets,Shop Smythson Holiday Gifts,Smythson Gifts for Him and Her,,Transform every letter into a masterpiece with our handcrafted luxury stationery.,Shop Smythson for luxury stationery crafted for sophisticated correspondence.,Shop our complete luxury stationery collection and discover handcrafted excellence.,Rediscover the joy of letter writing with our beautifully designed stationery sets.,Create custom stationery with personalized engraving on luxury leather & paper.,"Add a distinctive touch of elegance to every invitation, letter & handwritten note.",Smythson combines traditional craftsmanship with elegant design.,Smythson signature style & perfectly planned designs elevate every writing experience.,"Browse new arrivals, thank you cards, correspondence cards & personalized stationery.","Signature style, perfectly planned - discover our collection of luxury stationery.",Shop now,,,,,,,,,https://www.smythson.com/us/stationery,,Generic US
SMY | US | P Max | H&S,Travel Bags,Handcrafted Leather Durability,Travel in Luxury & Comfort,Smythson Handcrafted Quality,Smythson Luxury Travel Range,Smythson Travel Bag Collection,Smythson Designer Travel Range,Find Your Perfect Travel Bag,Shop Handcrafted Travel Bags,Shop Luxury Leather Bags,Travel Bag Perfection Awaits,Free Delivery On Orders $500+,Luxury Gifts They’ll Treasure,Crafted for Modern Life,Elegant Luxury Leather Gifts,Smythson Gifts for Him and Her,Travel in luxury and comfort with bags designed for modern sophisticated needs.,Smythson travel bags offer sophisticated style with luxury leather construction.,Smythson's designer travel bags combine traditional craftsmanship with contemporary style.,Browse our luxury travel collection and find the perfect bag for your next adventure.,,"Handcrafted leather travel bags combine durability, practicality, and signature style.",Essential travel companions providing perfect blend of functionality and luxury style.,Smythson's luxury travel bags feature luxury materials with traditional craftsmanship.,Find your ideal travel bag from our luxury collection of leather and canvas designs.,Designer canvas and leather finish options offering superior functionality and elegance.,Shop now,,HckdlWEj2sw,,,,,,,https://www.smythson.com/us/bags/all-bags/travel-bags,,Generic US
SMY | US | P Max | H&S,Notebooks,Handcrafted Luxury Notebooks,Featherweight Paper Quality,Free Delivery On Orders $500+,Smythson Luxury Notebooks,Smythson Handcrafted Quality,Smythson Leather Notebooks,Discover Your Perfect Match,Discover Handcrafted Quality,Shop Smythson Notebooks,Ideas Need Beautiful Homes,Inspiration Starts Here,Refillable Notebook Options,Hand-Bound Leather Notebooks,,,Hand-Bound Notebooks With Signature Featherweight Paper For Superior Writing Experience,Smythson Timeless Notebook Designs Crafted With The Finest Materials Since 1887,Smythson Luxury Notebooks Combine British Heritage With Exquisite Craftsmanship.,Where Your Most Important Thoughts Meet The Finest Craftsmanship & Beautiful Design,Signature Featherweight Paper In Hand-Bound Leather.,Each beautiful notebook is hand-bound with signature Featherweight paper quality.,Experience Smythson heritage craftsmanship in our premium notebook collection.,Great ideas deserve more than any notebook - they deserve Smythson excellence.,Where important thoughts meet finest craftsmanship in beautiful premium designs.,,Shop now,,,,,,,,,https://www.smythson.com/us/journals-and-books/notebooks/all-notebooks,,Generic US
SMY | US | P Max | H&S,Heroes & Sidekicks,Luxury Christmas Gifts,Smythson Leather Gifts,Smythson Gifts for Him and Her,Over 135 Years Of Expertise,Handcrafted Leather Gifts,Free Delivery On Orders $500+,Luxury Stocking Fillers,Elegant Luxury Leather Gifts,Shop Smythson Holiday Gifts,Luxury Gifts They’ll Treasure,Crafted for Modern Life,Smythson of Bond Street™,Iconic Leather Gift Collection,Perfect Holiday Presents,Celebrate with Smythson Gifts,Celebrate the season with Smythson’s luxury leather gifts - elegant and expertly crafted.,Discover handcrafted leather presents from Smythson - perfect for Christmas and occasions.,Smythson’s luxury leather collection makes every festive moment unforgettable.,Shop Smythson Holiday gifts - heritage craftsmanship that your loved ones will treasure.,"Shop Smythson Luxury Christmas gifts, expertly crafted to delight those you treasure most.","Shop Smythson Holiday gifts - handcrafted leather, timeless style, effortless luxury.",Discover luxury leather gifts for him and her - perfect for the festive season.,Give timeless presents with Smythson’s Christmas gift collection.,"Elegant leather gifts, expertly crafted with over 135 years of heritage.",Curated Gifts for Loved Ones.,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/us/christmas.html,,Generic US
SMY | US | P Max | H&S,Card Holders,Shop Smythson Card Holders,Our Black Friday Event Is Here,Our Black Friday event is here,Smythson Luxury Card Holders,Smythson Signature Collection,Pocket-Sized Luxury,Smythson Luxury Accessories,Smythson Timeless Elegance,Shop Luxury Card Holders Now,Shop Your Perfect Card Holder,Find Your Ideal Card Holder,Card Holders to Treasure,Smythson Card Holder Gifts,Over 135 Years of Expertise,,Compact and considered design perfectly sized to slip into any pocket or briefcase.,Experience British luxury at its finest with Smythson's signature leather card holders.,Shop our complete collection of luxury leather card holders and find your perfect match.,Browse Smythson's signature card holders and choose your favourite leather and colour.,"Crafted from signature Mara, Ludlow, and Panama leathers with expert precision quality.",Choose from classic shades to bold colours that perfectly complement your personal style.,"Shop Smythson’s Panama leather card holders refined, compact essentials crafted to last.",Shop Smythson's curated selection of premium card holders in your favourite leather type.,"Compact, colourful and timeless - Smythson card holders for considered everyday style.","A Smythson card holder blends heritage craftsmanship with refined, modern design.",Shop now,,HckdlWEj2sw,,,,,,,https://www.smythson.com/us/leather-goods/accessories/card-holders,,Generic US
SMY | US | P Max | H&S,Remarketing,Smythson Leather Gifts,Luxury Holiday Gifts,Over 135 Years Of Expertise,Smythson Gifts for Him and Her,Free Delivery On Orders $500+,Handcrafted Leather Gifts,Luxury Stocking Fillers,Elegant Luxury Leather Gifts,Shop Smythson Holiday Gifts,Luxury Gifts They’ll Treasure,Crafted for Modern Life,Smythson of Bond Street™,Iconic Leather Gift Collection,Perfect Holiday Presents,Celebrate with Smythson Gifts,Celebrate the season with Smythson’s luxury leather gifts - elegant and expertly crafted.,Discover handcrafted leather presents from Smythson - perfect for Holidays and occasions.,Smythson’s luxury leather collection makes every festive moment unforgettable.,Shop Smythson Holiday gifts - heritage craftsmanship that your loved ones will treasure.,"Shop Smythson luxury Holiday gifts, expertly crafted to delight those you treasure most.","Shop Smythson Holiday gifts - handcrafted leather, timeless style, effortless luxury.",Discover luxury leather gifts for him and her - perfect for the festive season.,Give timeless presents with Smythson’s Holiday gift collection.,"Elegant leather gifts, expertly crafted with over 135 years of heritage.",Curated Gifts for Loved Ones.,Shop now,,HckdlWEj2sw,kQCkDDCrPjY,vpmqKyW5_-8,,,,,https://www.smythson.com/us/new-arrivals,,US | Remarketing
SMY | US | P Max | H&S,Competitors H&S,Smythson of Bond Street™,Quintessential British Luxury,Over 135 Years Of Expertise,Luxury Leather Craftsmanship,Free Delivery On Orders $500+,Discover New Arrivals,Enjoy Complimentary Returns,Personalization Available,Personalize Your Order Today,Discover Gifts For Him & Her,Shop The 2026 Diary Collection,Exclusive Luxury Gift Wrapping,Discover Timeless Collections,Crafted for Modern Life,,Icons handcrafted the same storied way since 1887. Discover the new collection now.,Explore our signature luxury leather bags & accessories.,"From notebooks to briefcases, explore luxury design that celebrates craftsmanship.",Explore gold-stamped initials motifs & more to make items uniquely yours or theirs.,"Elegant leather gifts, expertly crafted with over 135 years of heritage.",Celebrate the season with Smythson’s luxury leather gifts - elegant and expertly crafted.,"Crafting stories for over 135 years, designed to celebrate the joy of the handwritten.",Discover handcrafted leather presents from Smythson - perfect for holidays and occasions.,"From notebooks to handbags, explore luxury design that celebrates craftsmanship.",Shop Smythson Holiday gifts - heritage craftsmanship that your loved ones will treasure.,Shop now,,HckdlWEj2sw,kQCkDDCrPjY,vpmqKyW5_-8,,,,,https://www.smythson.com/us/new-arrivals,,,,,,,,,,US Competitors
SMY | US | P Max | H&S,Leopard Collection - All,Smythson of Bond Street™,Luxury Leopard Print Gifts,Leather Leopard Print Gifts,Smythson Leopard Collection,Leopard Print Panama Leather,Luxury Gifts with Character,Standout Leather Gifts,Distinctive Leopard Gifts,Free Delivery On Orders $500+,Gifts That Make a Statement,Panama Leopard Print Gifts,Luxury Gifts for Her,Heritage Leather Gifts,Crafted for Memorable Gifting,Shop Leopard Leather Gifts,Discover leopard-print Panama leather gifts crafted with heritage and timeless luxury.,"Luxury leopard-print gifts crafted to delight, surprise and be cherished for years.",Leopard-print leather christmas gifts that combine craftsmanship and lasting elegance.,Leopard-print leather gifts handcrafted to become the most-loved piece they unwrap.,Make gifting memorable with luxury leopard-print pieces they’ll treasure for seasons.,"Shop Smythson leopard gifts - luxury notebooks, travel accessories, and more.","Gift in style with leopard print leather gifts, crafted with over 135 years of expertise.",Signature Panama leather meets a bespoke print - perfect for gifts.,Surprise someone special with luxury leopard-print leather gifts full of character.,Make gifting unforgettable with bold yet elegant leopard-print leather crafted to last.,Shop now,,HckdlWEj2sw,,,,,The_Leopard,Edit,https://www.smythson.com/us/edits/the-leopard-edit,,Generic US
SMY | US | P Max | H&S,Jewellery Boxes and Rolls,Treasures Beautifully Stored,Exquisitely Crafted Boxes,Free Delivery On Orders $500+,Smythson Luxury Since 1887,Signature Smythson Elegance,Browse Luxury Jewellery Boxes,Explore Gift-Ready Designs,Shop Thoughtful Gifts Now,Jewellery Storage with Style,Deluxe Jewellery Box Range,Trinket Cases & Travel Trays,Smythson Jewellery Boxes,,,,Exquisitely crafted jewellery boxes that make gifts for special occasions.,Experience Smythson's heritage craftsmanship in every luxury jewellery storage piece.,Keep your precious treasures safe and organized with Smythson Jewellery Boxes and Rolls.,"Shop luxury leather jewellery boxes, perfect for gifting to someone special today.",Jewellery storage that's as elegant as the treasures it protects inside.,Make someone special smile with exquisitely crafted jewellery box gifts.,Discover signature Smythson style in our expertly crafted jewellery storage range.,Invest in Smythson luxury leather jewellery boxes designed for elegance.,Shop jewellery boxes and watch rolls with Smythson signature style and quality.,Turn jewellery chaos into organised bliss with luxury leather jewellery boxes and rolls.,Shop now,,HckdlWEj2sw,,,,,,,https://www.smythson.com/us/home/accessories/jewellery-boxes-rolls,,Generic US
