Campaign,Asset Group,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Description 1,Description 2,Description 3,Description 4,Description 5,Call to action,Business name,Video ID 1,Video ID 2,Video ID 3,Video ID 4,Video ID 5,Path 1,Path 2,Final URL,Final mobile URL,Audience signal,Age demographic,Gender demographic,Income demographic,Parental status demographic,Remarketing audience segments,Interest categories,Life events,Custom audience segments,Detailed demographics,Ad Group,Product Group,Max CPC,Product Group Type
SMY | UK | P Max | All Customers 300,Competitors,Smythson of Bond Street™,New Collection 2025,Spring & Summer Collection,Discover New Arrivals,Shop Our New Collection,New Luxury Bags & Accessories,Smythson New Luxurious Arrival,Luxury Leather Craftsmanship,New-Season Collection,Icons Handcrafted Since 1887,Elevate Your Style This Season,Smythson's Latest Collection,New Spring & Summer 2025,Discover The New Collection,Over 130 Years Of Expertise,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,"Handcrafted Bags To Everyday Accessories, Our New-Season Collection. Shop Now.",Smythson's New Spring & Summer Arrival - Discover Our New Luxury Range Now.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,,Smythson's New Spring & Summer Arrival - Discover Now.,New-Season Collection - Elevate Your Style This Season.,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,,Shop now,,O3Cb4aqwVjQ,FksOTQ8edq8,4D5YQe4RIj0,2TFh16iD0r8,fcySG2hd8_k,,,https://www.smythson.com/uk/new-arrivals,,Competitors - Rok
SMY | UK | P Max | All Customers 300,Remarketing,Smythson of Bond Street™,New Collection 2025,Spring & Summer Collection,Discover New Arrivals,Shop Our New Collection,New Luxury Bags & Accessories,Smythson New Luxurious Arrival,Luxury Leather Craftsmanship,New-Season Collection,Icons Handcrafted Since 1887,Elevate Your Style This Season,Smythson's Latest Collection,New Spring & Summer 2025,Discover The New Collection,Over 130 Years Of Expertise,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,"Handcrafted Bags To Everyday Accessories, Our New-Season Collection. Shop Now.",Smythson's New Spring & Summer Arrival - Discover Our New Luxury Range Now.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,,Smythson's New Spring & Summer Arrival - Discover Now.,New-Season Collection - Elevate Your Style This Season.,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,,Shop now,,O3Cb4aqwVjQ,FksOTQ8edq8,4D5YQe4RIj0,2TFh16iD0r8,fcySG2hd8_k,,,https://www.smythson.com/uk/new-arrivals,,Remarketing
SMY | UK | P Max | Bags,Bags - High Earners,Smythson Luxury Leather Bags,British Luxury Since 1887,Heritage British Leather Craft,Timeless Elegant Leather Goods,Premium Full Grain Leather,Luxury Bags & Accessories,Artisan Crafted Leather Bags,Lifetime Leather Care Service,New Autumn Winter Collection,Complimentary Personalisation,Every Occasion Luxury Bags,Finest Leather Bag Collection,Lifestyle Luxury Bag Range,Latest Luxury Bag Arrivals,Over 130 Years Of Expertise,New Autumn Winter luxury leather collection now available.,Smythson luxury leather goods. British heritage and timeless elegance since 1887.,Handcrafted from the finest leather. Sophisticated designs for discerning taste.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,"Dependable and stylish companions for work, travel, and daily use. British luxury refined.",New Autumn Winter luxury leather collection now available.,"Dependable and stylish companions for work, travel, and daily use. British luxury refined.",Handcrafted from the finest leather. Sophisticated designs for discerning taste.,Complimentary personalisation available. Make your luxury leather bag uniquely yours.,Smythson luxury leather goods. British heritage and timeless elegance since 1887.,Shop now,,,,,,,,,https://www.smythson.com/uk/new-arrivals,,High Earning Business People - Bags
SMY | UK | P Max | Diaries,Diaries AW25 - All,Smythson of Bond Street™,Luxury Leather Diaries,Over 135 Years Of Expertise,Luxury Leather Craftsmanship,Free Delivery On Orders £300+,Luxury Leather Diary Gifts,Gift a Smythson Diary,Personalisation Available,Personalise Your Order Today,Discover Gifts For Him & Her,Smythson Leather Diaries,Exclusive Luxury Gift Wrapping,Shop The 2026 Collection,Crafted to Be Cherished,Elevate Their Year Ahead,Discover Smythson leather diaries - thoughtful gifts crafted to inspire the year ahead.,"Gift a Smythson diary, beautifully crafted with over 135 years of expertise.",Start your year with a Smythson diary - where heritage meets everyday elegance.,"Mark the moment with a Smythson diary - refined, timeless and made to be cherished.",Capture all of life’s moments with Smythson's full-year diaries.,Start Planning Next Year’s Adventures With Our 2026 Diaries.,Give a thoughtful start to their year with a handcrafted Smythson diary gift.,Mark the moment with a Smythson diary - beautifully designed to inspire the year ahead.,Explore Gold-Stamped Initials Motifs & More To Make Your Diary Uniquely Yours.,"Your Year, Thoughtfully Organised In Signature Smythson Style.",Shop now,,kQCkDDCrPjY,HckdlWEj2sw,,,,,,https://www.smythson.com/uk/diaries-and-books/diaries/all-diaries,,Generic
SMY | UK | P Max | H&S,Stationery,Elevate Every Written Word,Timeless Luxury Stationery,Free Delivery On Orders £300+,Smythson Luxury Stationery,Smythson Writing Excellence,Smythson Bespoke Stationery,Luxury Gifts They’ll Treasure,Shop Luxury Stationery,Distinctive Touch of Elegance,Luxury Writing Paper & Pens,Paper & Envelope Sets,Shop Smythson Holiday Gifts,Smythson Gifts for Him and Her,,,Transform every letter into a masterpiece with our handcrafted luxury stationery.,Shop Smythson for luxury stationery crafted for sophisticated correspondence.,Shop our complete luxury stationery collection and discover handcrafted excellence.,Rediscover the joy of letter writing with our beautifully designed stationery sets.,Create custom stationery with personalised engraving on luxury leather & paper.,"Add a distinctive touch of elegance to every invitation, letter & handwritten note.",Smythson combines traditional craftsmanship with elegant design.,Smythson's signature style & perfectly planned designs elevate every writing experience.,"Browse new arrivals, thank you cards, correspondence cards & personalised stationery.","Signature style, perfectly planned - discover our new collection of luxury stationery.",Shop now,,HckdlWEj2sw,,,,,,,https://www.smythson.com/uk/stationery,,,,,,,Smythson | UK | Customer Match List,Shoppers>Luxury Shoppers,,Personalized Stationary;Paper;Lined Writing Paper;Pens;Writing Tools
SMY | UK | P Max | H&S,Travel Bags,Handcrafted Leather Durability,Travel in Luxury & Comfort,Smythson Handcrafted Quality,Smythson Premium Travel Range,Smythson Travel Bag Collection,Smythson Designer Travel Range,Find Your Perfect Travel Bag,Shop Handcrafted Travel Bags,Shop Luxury Leather Bags,Travel Bag Perfection Awaits,Free Delivery On Orders £300+,Luxury Gifts They’ll Treasure,Crafted for Modern Life,Elegant Luxury Leather Gifts,Smythson Gifts for Him and Her,Travel in luxury and comfort with bags designed for modern sophisticated needs.,Smythson travel bags offer sophisticated style with premium Ludlow leather construction.,Smythson's designer travel bags combine traditional craftsmanship with contemporary style.,Browse our luxury travel collection and find the perfect bag for your next adventure.,,"Handcrafted leather travel bags combine durability, practicality, and signature style.",Essential travel companions providing perfect blend of functionality and luxury style.,Smythson's luxury travel bags feature luxury materials with traditional craftsmanship.,Find your ideal travel bag from our luxury collection of leather and canvas designs.,,Shop now,,HckdlWEj2sw,,,,,,,https://www.smythson.com/uk/bags/all-bags/travel-bags,,,,,,,Google-engaged audiences - for Account 6241828190;Google-engaged audiences - for Account 8573235780;Smythson | UK | Customer Match List,Travel>Trips by Destination>Trips to Asia-Pacific>Trips to Malaysia;Travel>Travel Buffs>Luxury Travelers;Travel>Trips by Destination>Trips to Asia-Pacific>Trips to Singapore;Travel>Business Travelers;Travel>Trips by Destination>Trips to Asia-Pacific;Shoppers>Luxury Shoppers;Travel>Trips by Destination>Trips to the Middle East & Africa>Trips to Kuwait;Travel>Trips by Destination>Trips to Latin America;Lifestyles & Hobbies>Business Professionals,,Luxury Travel Services
SMY | UK | P Max | H&S,Heroes & Sidekicks,Luxury Christmas Gifts,Smythson Leather Gifts,Smythson Gifts for Him and Her,Over 135 Years of Craft,Handcrafted Leather Gifts,Free Delivery On Orders £300+,Luxury Stocking Fillers,Elegant Luxury Leather Gifts,Shop Smythson Christmas Gifts,Luxury Gifts They’ll Treasure,Luxury Gifts Delivered Fast,Smythson of Bond Street™,Iconic Leather Gift Collection,Perfect Christmas Presents,Celebrate with Smythson Gifts,Celebrate the season with Smythson’s luxury leather gifts - elegant and expertly crafted.,Discover handcrafted leather presents from Smythson - perfect for Christmas and occasions.,Smythson’s luxury leather collection makes every festive moment unforgettable.,Shop Smythson Christmas gifts - heritage craftsmanship that your loved ones will treasure.,"Shop Smythson Luxury Christmas gifts, expertly crafted to delight those you treasure most.","Shop Smythson Christmas gifts - handcrafted leather, timeless style, effortless luxury.",Discover luxury leather gifts for him and her - perfect for the festive season.,Give timeless presents with Smythson’s Christmas gift collection.,"Elegant leather gifts, expertly crafted with over 135 years of heritage.",Curated Gifts for Loved Ones.,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/uk,,Generic
SMY | UK | P Max | H&S,Card Holders,Shop Smythson Card Holders,Thoughtfully Crafted Design,Free Delivery On Orders £300+,Smythson Luxury Card Holders,Smythson Signature Collection,Pocket-Sized Luxury,Smythson Luxury Accessories,Smythson Timeless Elegance,Shop Luxury Card Holders,Shop Your Perfect Card Holder,Find Your Ideal Card Holder,Card Holders to Treasure,Cards Never Looked So Elegant,Smythson Card Holder Gifts,Over 135 Years of Expertise,Compact and considered design perfectly sized to slip into any pocket or briefcase.,Experience British luxury at its finest with Smythson's signature leather card holders.,Shop our complete collection of luxury leather card holders and find your perfect match.,Browse Smythson's signature card holders and choose your favourite leather and colour.,"Crafted from signature Mara, Ludlow, and Panama leathers with expert precision quality.",Choose from classic shades to bold colours that perfectly complement your personal style.,British heritage meets modern functionality in every Smythson leather card holder crafted.,Shop Smythson's curated selection of premium card holders in your favourite leather type.,"Compact, colourful and timeless - Smythson card holders for considered everyday style.","A Smythson card holder blends heritage craftsmanship with refined, modern design.",Shop now,,HckdlWEj2sw,,,,,,,https://www.smythson.com/uk/leather-goods/accessories/card-holders,,,,,,,Google-engaged audiences - for Account 6241828190;Google-engaged audiences - for Account 8573235780;Smythson | UK | Customer Match List,"Shoppers>Luxury Shoppers;Apparel & Accessories>Wallets, Briefcases & Leather Goods;Lifestyles & Hobbies>Business Professionals",,Personalized Stationary;Leather Suppliers;Leather Goods
SMY | UK | P Max | H&S,Remarketing Heroes & Sidekicks,Smythson Leather Gifts,Luxury Holiday Gifts,Over 135 Years Of Expertise,Smythson Gifts for Him and Her,Free Delivery On Orders £300+,Handcrafted Leather Gifts,Luxury Stocking Fillers,Elegant Luxury Leather Gifts,Shop Smythson Holiday Gifts,Luxury Gifts They’ll Treasure,Crafted for Modern Life,Iconic Leather Gift Collection,Perfect Holiday Presents,Celebrate with Smythson Gifts,Smythson of Bond Street™,Celebrate the season with Smythson’s luxury leather gifts - elegant and expertly crafted.,Discover handcrafted leather presents from Smythson - perfect for Christmas and occasions.,Smythson’s luxury leather collection makes every festive moment unforgettable.,Shop Smythson Christmas gifts - heritage craftsmanship that your loved ones will treasure.,"Shop Smythson luxury Christmas gifts, expertly crafted to delight those you treasure most.","Shop Smythson Holiday gifts - handcrafted leather, timeless style, effortless luxury.",Discover luxury leather gifts for him and her - perfect for the festive season.,Give timeless presents with Smythson’s Holiday gift collection.,"Elegant leather gifts, expertly crafted with over 135 years of heritage.",Curated Gifts for Loved Ones.,Shop now,,HckdlWEj2sw,kQCkDDCrPjY,vpmqKyW5_-8,,,,,https://www.smythson.com/uk/new-arrivals,,Remarketing Rok
SMY | UK | P Max | H&S,Competitors H&S,Smythson of Bond Street™,Quintessential British Luxury,Over 135 Years Of Expertise,Luxury Leather Craftsmanship,Free Delivery On Orders £300+,Discover New Arrivals,Enjoy Complimentary Returns,Personalisation Available,Personalise Your Order Today,Discover Gifts For Him & Her,Shop The 2026 Diary Collection,Exclusive Luxury Gift Wrapping,Crafted for Modern Life,Discover Timeless Collections,,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,Explore our signature luxury leather bags & accessories.,"From Notebooks to Briefcases, Explore Luxury Design That Celebrates Craftsmanship.",Step Into The New Season With Handcrafted Classics In Seasonal Earthy Tones.,"Elegant leather gifts, expertly crafted with over 135 years of heritage.",Celebrate the season with Smythson’s luxury leather gifts - elegant and expertly crafted.,"Crafting Stories For Over 135 Years, Designed To Celebrate The Joy Of The Handwritten.",Discover handcrafted leather presents from Smythson - perfect for holidays and occasions.,"From notebooks to handbags, explore luxury design that celebrates craftsmanship.",Shop Smythson Holiday gifts - heritage craftsmanship that your loved ones will treasure.,Shop now,,HckdlWEj2sw,kQCkDDCrPjY,vpmqKyW5_-8,,,,,https://www.smythson.com/uk/new-arrivals,,,,,,,,,,UK Competitors
SMY | UK | P Max | H&S,Leopard Collection,Smythson of Bond Street™,Luxury Leopard Print Gifts,Leather Leopard Print Gifts,Smythson Leopard Collection,Leopard Print Panama Leather,Luxury Gifts with Character,Standout Leather Gifts,Distinctive Leopard Gifts,Free Delivery On Orders £300+,Gifts That Make a Statement,Panama Leopard Print Gifts,Luxury Gifts for Her,Heritage Leather Gifts,Crafted for Memorable Gifting,Shop Leopard Leather Gifts,Discover leopard-print Panama leather gifts crafted with heritage and timeless luxury.,"Luxury leopard-print gifts crafted to delight, surprise and be cherished for years.",Leopard-print leather christmas gifts that combine craftsmanship and lasting elegance.,Leopard-print leather gifts handcrafted to become the most-loved piece they unwrap.,Make gifting memorable with luxury leopard-print pieces they’ll treasure for seasons.,"Shop Smythson leopard gifts - luxury notebooks, travel accessories, and more","Gift in style with leopard print leather gifts, crafted with over 135 years of expertise.",Signature Panama leather meets a bespoke print - perfect for gifts,Surprise someone special with luxury leopard-print leather gifts full of character.,Make gifting unforgettable with bold yet elegant leopard-print leather crafted to last.,Shop now,,HckdlWEj2sw,,,,,The_Leopard,Edit,https://www.smythson.com/uk/edits/the-leopard-edit,,Generic
SMY | UK | P Max | H&S,Jewellery Boxes and Rolls,Treasures Beautifully Stored,Exquisitely Crafted Boxes,Free Delivery On Orders £300+,Smythson Luxury Since 1887,Signature Smythson Elegance,Browse Luxury Jewellery Boxes,Explore Gift-Ready Designs,Shop Thoughtful Gifts Now,Jewellery Storage with Style,Deluxe Jewellery Box Range,Trinket Cases & Travel Trays,Smythson Jewellery Boxes,,,,Exquisitely crafted jewellery boxes and rolls that make gifts for special occasions.,Experience Smythson's heritage craftsmanship in every luxury jewellery storage piece.,Trust Smythson's expertise to keep your most precious treasures safe and organised.,"Shop luxury leather jewellery boxes, perfect for gifting to someone special today.",Jewellery storage that's as elegant as the treasures it protects inside.,Make someone special smile with exquisitely crafted jewellery boxes.,Discover signature Smythson style in our expertly crafted jewellery storage range.,Invest in Smythson luxury leather jewellery boxes designed for elegance.,Order elegant jewellery organisation with Smythson signature style and quality.,Turn jewellery chaos into organised bliss with luxury leather jewellery boxes and rolls.,Shop now,,HckdlWEj2sw,,,,,,,https://www.smythson.com/uk/home/accessories/jewellery-boxes-rolls,,,,,,,Google-engaged audiences - for Account 6241828190;Google-engaged audiences - for Account 8573235780;Smythson | UK | Customer Match List,Travel>Travel Buffs>Luxury Travelers;Shoppers>Luxury Shoppers;Apparel & Accessories>Jewelry & Watches;Apparel & Accessories>Jewelry & Watches>Fine Jewelry;Lifestyles & Hobbies>Business Professionals,,Gift Sending;Birthday Gifts;Leather Goods
