Campaign,Asset Group,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Description 1,Description 2,Description 3,Description 4,Description 5,Call to action,Business name,Video ID 1,Video ID 2,Video ID 3,Video ID 4,Video ID 5,Path 1,Path 2,Final URL,Final mobile URL,Audience signal,Age demographic,Gender demographic,Income demographic,Parental status demographic,Remarketing audience segments,Interest categories,Life events,Custom audience segments,Detailed demographics,Ad Group,Product Group,Max CPC,Product Group Type
SMY | EUR | FR | P Max | Christmas Gifting,Christmas Gifting for Him,Cadeaux de Noël de luxe,Cadeaux en cuir Smythson,Cadeaux Smythson pour lui,Plus de 135 ans d'artisanat,Cadeaux en cuir faits main,Livraison gratuite dès 300 €,Petits cadeaux de luxe,Cadeaux en cuir de luxe,Cadeaux de luxe à chérir,Cadeaux de luxe livrés vite,Smythson of Bond Street™,Collection cadeaux en cuir,Cadeaux de Noël parfaits,Célébrez avec Smythson,,"Célébrez la saison avec les cadeaux en cuir de luxe Smythson, élégants et raffinés.",Découvrez les cadeaux en cuir artisanaux Smythson – parfaits pour Noël et occasions.,La collection de maroquinerie de luxe Smythson rend chaque moment festif inoubliable.,Découvrez les cadeaux de Noël Smythson – savoir-faire que vos proches chériront.,Cadeaux de Noël de luxe Smythson – conçus pour ravir vos proches chéris.,"Découvrez les cadeaux de Noël Smythson : cuir artisanal, style intemporel, luxe naturel.","Découvrez des cadeaux en cuir de luxe pour lui, parfaits pour les fêtes de fin d'année.",Offrez des cadeaux intemporels avec la collection de cadeaux de Noël Smythson.,"Cadeaux en cuir élégants, conçus avec savoir-faire et plus de 135 ans d'héritage.",Cadeaux sélectionnés,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/fr/cadeaux/cadeaux-pour-lui,,,,,,,All Converters;Google-engaged audiences - for Account 7679616761;Google-engaged audiences - for Account 6241828190,Gifts & Occasions>Holiday Items & Decorations>Christmas Items & Decor;Travel>Business Travelers;Seasonal Shopping>Christmas Shopping;Lifestyles & Hobbies>Business Professionals;Gifts & Occasions>Personalized Gifts;Seasonal Shopping>Christmas Shopping>Online Christmas Shopping
SMY | EUR | FR | P Max | Christmas Gifting,Christmas Gifting for Her,Cadeaux de Noël de luxe,Cadeaux en cuir Smythson,Cadeaux Smythson pour elle,Plus de 135 ans d'artisanat,Cadeaux en cuir faits main,Livraison gratuite dès 300 €,Petits cadeaux de luxe,Cadeaux en cuir de luxe,Cadeaux de Noël Smythson,Cadeaux de luxe à chérir,Cadeaux de luxe livrés vite,Smythson of Bond Street™,Collection cadeaux en cuir,Cadeaux de Noël parfaits,Célébrez avec Smythson,"Célébrez la saison avec les cadeaux en cuir de luxe Smythson, élégants et raffinés.",Découvrez les cadeaux en cuir artisanaux Smythson – parfaits pour Noël et occasions.,La collection de maroquinerie de luxe Smythson rend chaque moment festif inoubliable.,Découvrez les cadeaux de Noël Smythson – savoir-faire que vos proches chériront.,Cadeaux de Noël de luxe Smythson – conçus pour ravir vos proches chéris.,"Découvrez les cadeaux de Noël Smythson : cuir artisanal, style intemporel, luxe naturel.","Découvrez des cadeaux en cuir de luxe pour elle, parfaits pour les fêtes de fin d'année.",Offrez des cadeaux intemporels avec la collection de cadeaux de Noël Smythson.,"Cadeaux en cuir élégants, conçus avec savoir-faire et plus de 135 ans d'héritage.",Cadeaux sélectionnés,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/fr/cadeaux/cadeaux-pour-elle,,,,,,,All Converters,Gifts & Occasions>Gift Baskets;Gifts & Occasions>Holiday Items & Decorations>Christmas Items & Decor;Travel>Business Travelers;Seasonal Shopping>Christmas Shopping;Lifestyles & Hobbies>Business Professionals;Gifts & Occasions>Personalized Gifts;Seasonal Shopping>Christmas Shopping>Online Christmas Shopping;Gifts & Occasions
SMY | EUR | FR | P Max | Christmas Gifting,Christmas Gifting,Cadeaux de Noël de luxe,Cadeaux en cuir Smythson,Cadeaux Smythson Elle & Lui,Plus de 135 ans d'artisanat,Cadeaux en cuir faits main,Livraison gratuite dès 300 €,Petits cadeaux de luxe,Cadeaux en cuir de luxe,Cadeaux de Noël Smythson,Cadeaux de luxe à chérir,Cadeaux de luxe livrés vite,Smythson of Bond Street™,Collection cadeaux en cuir,Cadeaux de Noël parfaits,Célébrez avec Smythson,"Célébrez la saison avec les cadeaux en cuir de luxe Smythson, élégants et raffinés.",Découvrez les cadeaux en cuir artisanaux Smythson – parfaits pour Noël et occasions.,La collection de maroquinerie de luxe Smythson rend chaque moment festif inoubliable.,Découvrez les cadeaux de Noël Smythson – savoir-faire que vos proches chériront.,Cadeaux de Noël de luxe Smythson – conçus pour ravir vos proches chéris.,"Découvrez les cadeaux de Noël Smythson : cuir artisanal, style intemporel, luxe naturel.",Offrez des cadeaux intemporels avec la collection de cadeaux de Noël Smythson.,"Cadeaux en cuir élégants, conçus avec savoir-faire et plus de 135 ans d'héritage.",Cadeaux sélectionnés,,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/fr/christmas.html,,,,,,,All Converters,Gifts & Occasions>Holiday Items & Decorations>Christmas Items & Decor;Travel>Business Travelers;Seasonal Shopping>Christmas Shopping;Shoppers;Lifestyles & Hobbies>Business Professionals;Seasonal Shopping>Christmas Shopping>Online Christmas Shopping
SMY | EUR | IT | P Max | Christmas Gifting,Christmas Gifting for Her,Regali di Natale di lusso,Regali in pelle Smythson,Regali Smythson per lei,Oltre 135 anni di artigianato,Regali in pelle fatti a mano,Spedizione gratuita da 300 €,Piccoli regali di lusso,Regali eleganti in pelle,Regali di Natale Smythson,egali di lusso da amare,Regali di lusso veloci,Smythson of Bond Street™,Collezione regali in pelle,Regali di Natale perfetti,Festeggia con regali Smythson,"Festeggia la stagione con regali in pelle di lusso Smythson, eleganti e curati.",Scopri i regali in pelle fatti a mano Smythson – perfetti per Natale e occasioni.,La collezione in pelle di lusso Smythson rende ogni momento festivo indimenticabile.,Scopri i regali di Natale Smythson – maestria artigianale da amare.,Regali di Natale di lusso Smythson – sapientemente creati per chi ami di più.,"Regali di Natale Smythson – pelle artigianale, stile senza tempo, lusso senza sforzo.","Scopri i regali di lusso in pelle per lei, perfetti per le festività natalizie.",Fai regali senza tempo con la collezione di regali natalizi di Smythson.,"Regali in pelle eleganti, creati con maestria e oltre 135 anni di tradizione.",Regali selezionati,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/it/regali/regali-per-lei,,,,,,,All Converters,Gifts & Occasions>Gift Baskets;Gifts & Occasions>Holiday Items & Decorations>Christmas Items & Decor;Travel>Business Travelers;Seasonal Shopping>Christmas Shopping;Lifestyles & Hobbies>Business Professionals;Gifts & Occasions>Personalized Gifts;Seasonal Shopping>Christmas Shopping>Online Christmas Shopping;Gifts & Occasions
SMY | EUR | IT | P Max | Christmas Gifting,Christmas Gifting for Him,Regali di Natale di lusso,Regali in pelle Smythson,Regali Smythson per lui,Oltre 135 anni di artigianato,Regali in pelle fatti a mano,Spedizione gratuita da 300 €,Piccoli regali di lusso,Regali eleganti in pelle,Regali di Natale Smythson,Regali di lusso veloci,Smythson of Bond Street™,Collezione regali in pelle,Regali di Natale perfetti,Festeggia con regali Smythson,egali di lusso da amare,"Festeggia la stagione con regali in pelle di lusso Smythson, eleganti e curati.",Scopri i regali in pelle fatti a mano Smythson – perfetti per Natale e occasioni.,La collezione in pelle di lusso Smythson rende ogni momento festivo indimenticabile.,Scopri i regali di Natale Smythson – maestria artigianale da amare.,Regali di Natale di lusso Smythson – sapientemente creati per chi ami di più.,"Regali di Natale Smythson – pelle artigianale, stile senza tempo, lusso senza sforzo.","Scopri i regali di lusso in pelle per lui, perfetti per le festività natalizie.",Fai regali senza tempo con la collezione di regali natalizi di Smythson.,"Regali in pelle eleganti, creati con maestria e oltre 135 anni di tradizione.",Regali selezionati,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/it/regali/regali-per-lui,,,,,,,All Converters;Google-engaged audiences - for Account 7679616761;Google-engaged audiences - for Account 6241828190,Gifts & Occasions>Holiday Items & Decorations>Christmas Items & Decor;Travel>Business Travelers;Seasonal Shopping>Christmas Shopping;Lifestyles & Hobbies>Business Professionals;Gifts & Occasions>Personalized Gifts;Seasonal Shopping>Christmas Shopping>Online Christmas Shopping
SMY | EUR | IT | P Max | Christmas Gifting,Christmas Gifting,Regali di Natale di lusso,Regali in pelle Smythson,Smythson Doni per Lei e Lui,Oltre 135 anni di artigianato,Regali in pelle fatti a mano,Spedizione gratuita da 300 €,Piccoli regali di lusso,Regali eleganti in pelle,Regali di Natale Smythson,egali di lusso da amare,Regali di lusso veloci,Smythson of Bond Street™,Collezione regali in pelle,Regali di Natale perfetti,Festeggia con regali Smythson,"Festeggia la stagione con regali in pelle di lusso Smythson, eleganti e curati.",Scopri i regali in pelle fatti a mano Smythson – perfetti per Natale e occasioni.,La collezione in pelle di lusso Smythson rende ogni momento festivo indimenticabile.,Scopri i regali di Natale Smythson – maestria artigianale da amare.,Regali di Natale di lusso Smythson – sapientemente creati per chi ami di più.,"Regali di Natale Smythson – pelle artigianale, stile senza tempo, lusso senza sforzo.","Scopri i regali di lusso in pelle per lui o per lei, perfetti per le festività natalizie.",Fai regali senza tempo con la collezione di regali natalizi di Smythson.,"Regali in pelle eleganti, creati con maestria e oltre 135 anni di tradizione.",Regali selezionati,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/it/christmas.html,,,,,,,All Converters,Gifts & Occasions>Holiday Items & Decorations>Christmas Items & Decor;Travel>Business Travelers;Seasonal Shopping>Christmas Shopping;Shoppers;Lifestyles & Hobbies>Business Professionals;Seasonal Shopping>Christmas Shopping>Online Christmas Shopping
SMY | EUR  | P Max | Christmas Gifting,Christmas Gifting for Her,Christmas Gifts She'll Adore,Meaningful Gifts She'll Love,Unique Christmas Gift Ideas,Smythson Christmas Selection,Smythson Premium Gift Range,Find Her Perfect Gift Today,Order Her Christmas Gift Now,Shop Smythson Gifts For Her,Gifts We Know She'll Adore,Make Her Christmas Sparkle,Make Christmas Unforgettable,Artisan Quality Accessories,Christmas Magic In A Box,Shop Premium Gifts Online,British Luxury Since 1887,Discover why Smythson has been creating luxury gifts since 1887 for special women,Choose from Smythson premium leather goods and accessories for her this Christmas,Discover the perfect Christmas present for her from our premium gift collection,Surprise the stylish woman in your life with luxury gifts that speak her language,Expert British craftsmanship meets luxury design in every Christmas gift for her,Give the gift of Smythson luxury with premium leather goods and elegant accessories,Shop the Smythson Christmas collection featuring signature quality and timeless design,Shop Christmas gifts for her now and discover why luxury makes the best presents,Little luxuries that create big impact and memories lasting long after Christmas,British craftsmanship meets luxury materials in every piece from our collection,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/int/christmas/gifts-for-her
SMY | EUR  | P Max | Christmas Gifting,Christmas Gifting,Luxury Christmas Gifts,Smythson Leather Gifts,Smythson Gifts for Him and Her,Over 135 Years of Craft,Handcrafted Leather Gifts,Free Delivery On Orders £300+,Luxury Stocking Fillers,Elegant Luxury Leather Gifts,Shop Smythson Christmas Gifts,Luxury Gifts They’ll Treasure,Luxury Gifts Delivered Fast,Smythson of Bond Street™,Iconic Leather Gift Collection,Perfect Christmas Presents,Celebrate with Smythson Gifts,Celebrate the season with Smythson’s luxury leather gifts - elegant and expertly crafted.,Discover handcrafted leather presents from Smythson - perfect for Christmas and occasions.,Smythson’s luxury leather collection makes every festive moment unforgettable.,Shop Smythson Christmas gifts - heritage craftsmanship that your loved ones will treasure.,"Shop Smythson Luxury Christmas gifts, expertly crafted to delight those you treasure most.","Shop Smythson Christmas gifts - handcrafted leather, timeless style, effortless luxury.",Discover luxury leather gifts for him and her - perfect for the festive season.,Give timeless presents with Smythson’s Christmas gift collection.,"Elegant leather gifts, expertly crafted with over 135 years of heritage.",Curated Gifts for Loved Ones.,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/int/christmas.html
SMY | EUR  | P Max | Christmas Gifting,Christmas Gifting for Him,Luxury Christmas Gifts For Him,Premium Men's Luxury Items,Meaningful Christmas Presents,British Heritage Craftsmanship,Smythson Christmas Selection,Smythson Personalised Gifts,Smythson Executive Collection,Discover Perfect Presents Now,Shop Executive Accessories,Gifts We Know He'll Treasure,More Than Just A Present,Crafted For The Discerning Man,Mid-Size Diaries & Planners,Crossbody Bags & Laptop Cases,Celebrate with Smythson Gifts,Smythson's luxury leather goods represent over 135 years of British craftsmanship.,Experience Bond Street quality with Smythson's handcrafted Christmas collection.,Shop our curated edit of Christmas gifts designed specifically for discerning men.,Discover meaningful gifts that combine British heritage with contemporary elegance.,Where British heritage meets modern sophistication in every handcrafted detail.,Handcrafted leather accessories and luxury stationery make perfect Christmas gifts.,British luxury meets contemporary design in every Smythson handcrafted accessory.,Browse handcrafted leather goods and find his perfect personalised gift today.,Because extraordinary men deserve gifts as distinctive and memorable as they are.,"Shop crossbody bags, passport covers, luggage tags and executive washbags now.",Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/int/christmas/gifts-for-him
SMY | EUR | DE  | P Max | Christmas Gifting,Christmas Gifting,Luxuriöse Weihnachtsgeschenke,Smythson Ledergeschenke,Geschenke für Sie & Ihn,Feiern mit Smythson Geschenken,Über 135 Jahre Handwerkskunst,Handgefertigte Ledergeschenke,Kostenloser Versand ab 300 €,Luxus-Strumpf-Füller,Elegante Luxus-Ledergeschenke,Smythson Weihnachtsgeschenke,Luxusgeschenke zum Schätzen,Luxusgeschenke schnell,Smythson of Bond Street™,Ikonische Ledergeschenke,Perfekte Weihnachtsgeschenke,"Feiern Sie die Saison mit Smythsons luxuriösen Ledergeschenken, elegant gefertigt.",Entdecken Sie handgefertigte Ledergeschenke von Smythson – ideal zu Weihnachten.,Die luxuriöse Lederkollektion von Smythson macht jeden festlichen Moment unvergesslich.,Entdecken Sie Smythson Weihnachtsgeschenke – traditionelles Handwerk zum Schätzen.,Smythson Luxus-Weihnachtsgeschenke – meisterhaft gefertigt für Ihre Liebsten.,"Smythson Weihnachtsgeschenke – handgefertigtes Leder, zeitloser Stil, mühelose Luxus.",Entdecken Sie luxuriöse Ledergeschenke für ihn oder sie – perfekt für die Festtage.,Verschenken Sie zeitlose Geschenke mit der Weihnachtsgeschenk-Kollektion von Smythson.,"Elegante Ledergeschenke, fachmännisch hergestellt mit über 135 Jahren Tradition.",Ausgewählte Geschenke,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/de/christmas.html,,,,,,,All Converters;Google-engaged audiences - for Account 7679616761;Google-engaged audiences - for Account 6241828190,Travel>Business Travelers;Seasonal Shopping>Christmas Shopping;Lifestyles & Hobbies>Business Professionals;Seasonal Shopping>Christmas Shopping>Online Christmas Shopping
SMY | EUR | DE  | P Max | Christmas Gifting,Christmas Gifting for Her,Luxuriöse Weihnachtsgeschenke,Smythson Ledergeschenke,Smythson Geschenke für Sie,Feiern mit Smythson Geschenken,Über 135 Jahre Handwerkskunst,Handgefertigte Ledergeschenke,Kostenloser Versand ab 300 €,Luxus-Strumpf-Füller,Elegante Luxus-Ledergeschenke,Smythson Weihnachtsgeschenke,Luxusgeschenke zum Schätzen,Luxusgeschenke schnell,Smythson of Bond Street™,Ikonische Ledergeschenke,Perfekte Weihnachtsgeschenke,"Feiern Sie die Saison mit Smythsons luxuriösen Ledergeschenken, elegant gefertigt.",Entdecken Sie handgefertigte Ledergeschenke von Smythson – ideal zu Weihnachten.,Die luxuriöse Lederkollektion von Smythson macht jeden festlichen Moment unvergesslich.,Entdecken Sie Smythson Weihnachtsgeschenke – traditionelles Handwerk zum Schätzen.,Smythson Luxus-Weihnachtsgeschenke – meisterhaft gefertigt für Ihre Liebsten.,"Smythson Weihnachtsgeschenke – handgefertigtes Leder, zeitloser Stil, mühelose Luxus.",Entdecken Sie luxuriöse Ledergeschenke für sie – perfekt für die Festtage.,Verschenken Sie zeitlose Geschenke mit der Weihnachtsgeschenk-Kollektion von Smythson.,"Elegante Ledergeschenke, fachmännisch hergestellt mit über 135 Jahren Tradition.",Ausgewählte Geschenke,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/de/geschenke/geschenke-fur-sie,,,,,,,All Converters;Google-engaged audiences - for Account 7679616761;Google-engaged audiences - for Account 6241828190,Travel>Business Travelers;Lifestyles & Hobbies>Business Professionals;Seasonal Shopping>Christmas Shopping>Online Christmas Shopping
