NDA BUDGET REDUCTION PLAN - CAMPAIGN BY CAMPAIGN
Date:,"November 3, 2025"
Baseline:,"£39,996.40/month (October 2025 actual)"
Target:,"£33,000/month (18% reduction)"

Campaign Name,Market,YTD Conversions,CPA,Oct Spend,New Budget,Change %,Monthly Saving,Action,Rationale
NDA | P Max Reboot | Interior Design Diploma - MENA,International,0.00,£0,£750.84,£0.00,-100%,£750.84,PAUSE,"0 conversions despite £2,017 spend, pause immediately"
NDA | Search | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait 175,International,0.00,£0,£723.48,£0.00,-100%,£723.48,PAUSE,"0 conversions despite £1,944 spend, major waste"
NDA | IN | Search | Interior Design Degree No Target,International,0.00,£0,£526.63,£0.00,-100%,£526.63,PAUSE,"0 conversions despite £1,415 spend, pause"
NDA | Search | Interior Design Diploma - Bahrain/Cyprus/Kuwait+ 135,International,0.00,£0,£511.25,£0.00,-100%,£511.25,PAUSE,"0 conversions, significant waste"
NDA | P Max | Interior Design Degree - USA/Canada 250 Split,International,0.00,£0,£338.34,£0.00,-100%,£338.34,PAUSE,"0 conversions, not performing"
NDA | AT/FR/NL/MA/DE/SW | Search |  Landscape Design Diplomas No Target,International,0.00,£0,£336.11,£0.00,-100%,£336.11,PAUSE,"0 conversions over 3 months, pause immediately"
NDA | Low Intl | Search | Retail Design Degree No Target,International,0.00,£0,£285.95,£0.00,-100%,£285.95,PAUSE,"0 conversions, wasting budget"
NDA | AT/FR/NL/MA/DE/SW | Search | Interior Design Diploma 250,International,0.00,£0,£136.00,£0.00,-100%,£136.00,PAUSE,"0 conversions, no performance"
NDA | Low Intl | Search | Curtain Making Course No Target,International,0.00,£0,£14.51,£0.00,-100%,£14.51,PAUSE,"0 conversions, pause"
NDA | EUR | Search | Landscape Design Courses 65,International,0.00,£0,£0.04,£0.00,-100%,£0.04,PAUSE,"0 conversions, pure waste"
NDA | UK | Search | Interior Design Careers  No Target,UK,0.15,£12167,£679.34,£339.67,-50%,£339.67,REDUCE_50,"Only 0.15 conv, CPA £12,167, completely inefficient"
NDA | P Max | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait/Qatar,International,0.50,£2289,£426.09,£213.04,-50%,£213.05,REDUCE_50,"Only 0.5 conv, CPA £2,289, not working"
NDA | BH/IN/CYSI | Search | Landscape Design Course No Target,International,0.09,£10041,£336.37,£168.19,-50%,£168.18,REDUCE_50,"Only 0.09 conv, CPA £10,041, not working"
NDA | UAE | Search | Interior Design Diploma No Target,International,7.50,£958,£2674.57,£1872.20,-30%,£802.37,REDUCE_30,"Very high CPA (£958), reduce spend"
NDA | Search | Interior Design Degree- UK 120 No Target 24/4,UK,11.51,£606,£2595.87,£1817.11,-30%,£778.76,REDUCE_30,"High CPA (£606), test efficiency at lower budget"
NDA | UAE | Search | Interior Design Degree No Target,International,2.00,£1747,£1300.25,£910.17,-30%,£390.08,REDUCE_30,"Extremely high CPA (£1,747), major reduction needed"
NDA | BH/CY/KW | Search | Interior Design Degree No Target,International,1.00,£2109,£784.87,£549.41,-30%,£235.46,REDUCE_30,"Extremely high CPA (£2,109), not viable"
NDA | P Max | Interior Design Diploma - USA/Canada 250,International,3.00,£673,£751.75,£526.23,-30%,£225.52,REDUCE_30,"High CPA (£673), test lower budget"
NDA | P Max | Interior Design Degree - UAE 175 No Target 24/4,International,2.00,£551,£409.91,£286.94,-30%,£122.97,REDUCE_30,"High CPA (£551), test lower spend"
NDA | UK | Search | Curtain Making Courses No Target,UK,1.00,£912,£339.40,£237.58,-30%,£101.82,REDUCE_30,"High CPA (£912), niche product"
NDA | OM/SA/UAE | Search | Landscape Design No Target,International,1.37,£663,£338.13,£236.69,-30%,£101.44,REDUCE_30,"High CPA (£663), niche product underperforming"
NDA | Pro Curtain Making & Soft Furnishings Fast-Track I 2023,UK,1.16,£782,£337.60,£236.32,-30%,£101.28,REDUCE_30,"High CPA (£782), low demand product"
NDA | UK | Search | Retail Design Degree No Target,UK,1.00,£828,£308.15,£215.70,-30%,£92.45,REDUCE_30,"High CPA (£828), low volume product"
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,UK,197.52,£95,£6958.88,£6958.88,0%,£0.00,KEEP,"Excellent CPA (£95), highest converter"
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,International,26.00,£277,£2681.98,£2681.98,0%,£0.00,KEEP,"Reasonable CPA (£277), good volume"
NDA | P Max | Interior Design Diploma - UK 100 Remarketing,UK,16.00,£380,£2265.10,£2265.10,0%,£0.00,KEEP,"Acceptable CPA (£380), remarketing value"
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,UK,145.60,£38,£2062.19,£2062.19,0%,£0.00,KEEP,Best CPA in account (£38)
NDA | OM/SA/BH/KW | Search | Interior Design Diploma No Target,International,16.00,£277,£1650.51,£1650.51,0%,£0.00,KEEP,"Reasonable CPA (£277), MENA presence"
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,International,17.27,£195,£1254.54,£1254.54,0%,£0.00,KEEP,"Good CPA (£195), key UAE market"
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,International,20.26,£165,£1241.49,£1241.49,0%,£0.00,KEEP,"Good CPA (£165), strong India performance"
NDA | ROTW | Search | Brand Inclusion No Target,International,8.86,£371,£1223.41,£1223.41,0%,£0.00,KEEP,"Reasonable CPA (£371), brand awareness"
NDA | US/CA | Search | Interior Design Degree 250 No Target 15/9,International,16.75,£149,£930.94,£930.94,0%,£0.00,KEEP,"Good CPA (£149), North America growth"
NDA | P Max | Interior Design Degree - ROTW 200 13/1 No Target 23/9,International,12.19,£200,£906.01,£906.01,0%,£0.00,KEEP,"Good CPA (£200), global reach"
NDA | Search | Interior Design Diploma - India Ai Max 19/9,International,5.59,£415,£863.46,£863.46,0%,£0.00,KEEP,"Acceptable CPA (£415), India growth"
NDA | UK | Search | Brand 100 New Customer 1/8 No Target,UK,16.78,£138,£860.73,£860.73,0%,£0.00,KEEP,"Good CPA (£138), strong brand campaign"
NDA | Search | Interior Design Diploma - USA/ Canada 250 Split 11/3,International,6.25,£292,£680.48,£680.48,0%,£0.00,KEEP,"Good CPA (£292), North America"
NDA | UK | Search | Landscape Design Diplomas No Target,UK,6.00,£253,£564.81,£564.81,0%,£0.00,KEEP,"Good CPA (£253), niche product"
NDA | Search | Interior Design Degree - Austria/France/Holland/Malta/Germany/Sweden,International,21.00,£65,£508.10,£508.10,0%,£0.00,KEEP,"Excellent CPA (£65), Europe performing well"
