Campaign ID,Campaign Name,Current Daily Budget (£),22 Dec - 2 Jan Budget (£),5 Jan+ Budget (£),Notes
15820346778,T2MD | P Max | HP&P,175,20,175,"Main PMax campaign - reduce to minimal spend during shutdown, restore 5th Jan"
22986754502,T2MD | Shopping | Catch All,200,10,200,"Catch-all Shopping - minimal budget during shutdown"
598475433,T2MD | Search | Trees,69,5,69,"Trees search - minimal budget, restore 5th Jan"
17324490442,T2MD | Search | Roses,63,5,63,"Roses search - minimal budget, restore 5th Jan"
10492045139,T2MD | DSA,68,5,68,"DSA campaign - minimal budget, restore 5th Jan"
21610656469,T2MD | P Max Shopping | Unprofitable,15,0,15,"Pause during shutdown (£0 budget)"
22122810626,T2MD | Shopping | Low Traffic,10,0,10,"Pause during shutdown (£0 budget)"
598474059,T2MD | Brand Inclusion,50,10,50,"Keep brand protection active at reduced level"
18441497267,T2MD | Search | Memorial Gift,10,2,10,"Minimal budget for memorial searches"
TOTALS,All Campaigns,660,57,660,"Total daily budget reduces from £660 to £57 during shutdown"
